Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Training, STR:A",HindSight,KASSANDRA MCMILLAN,35.9,20,11.6,4,0,71.5,10,
"[HT] Training, STR:A",Rosso Bellezza,AYLISH A. ARANA,40.2,40,20,4,0,104.2,11,
"[HT] Training, STR:A",Loughan's Shenanigans,DIANNA GORRA-CLARKE,35.9,60,30,4,0,129.9,12,
"[HT] Training, STR:A",Fix It Felix,RACHEL HARNISH,41.8,60,R,R,RR,RR,RR,
"[HT] Training, STR:A",Magical Instinct,SOPHIE M. STOCKS,42.7,60,R,R,RR,RR,RR,
"[HT] Training, STR:B",Zena,REBECCA E. SEVERT,23.9,0,1.6,0,0,25.5,1,
"[HT] Training, STR:B",Clintwald,SUE BUXTON,28.6,0,2.4,0,0,31,2,
"[HT] Training, STR:B",Southern Comfort,JULIET BARWICK,33,0,0,0,0,33,3,
"[HT] Training, STR:B",Cooley Rock Star,CAMILLE BREWER,29.1,0,0,4,0,33.1,4,
"[HT] Training, STR:B",Feisty Belle,MOLLY LANDES,31.6,0,0,4,0,35.6,5,
"[HT] Training, STR:B",Hollywood,AMANDA PRESCOTT,38.2,0,0,0,0,38.2,6,
"[HT] Training, STR:B",Real Genius,DEBBIE DAVIS,33.2,0,5.2,0,0,38.4,7,
"[HT] Training, STR:B",Montellier,ASHLEY AGUADO,38.9,0,0,4,0,42.9,8,
"[HT] Training, STR:B",Lakota,EMILY N. STEEMERS,32.5,0,5.2,8,0,45.7,9,
"[HT] Training, STR:B",Ever Dream,GABRIEL AGUILAR,30.9,0,16.8,0,0,47.7,10,
"[HT] Training, STR:B",Quintessence,MEGAN MCIVER,34.1,0,6.4,8,0,48.5,11,
"[HT] Training, STR:B",Mind The Gap,JULIE WHITE,33,0,4.8,12,0,49.8,12,
"[HT] Training, STR:B",Snappy Comeback,DENISE WRIGHT,33.9,20,10.4,0,0,64.3,13,
"[HT] Training, STR:B",Cooley Mastermind,ANA KOSTIOUKOVA,30.7,60,E,E,E,E,E,
"[HT] Novice, JNR",Clever Notion,SOPHIE DEVER,28.6,0,0,0,0,28.6,1,
"[HT] Novice, JNR",Tanqueray,MIRANDA R. OLAGARAY,27.6,0,0,1,0,28.6,2,
"[HT] Novice, JNR",Mercury,AMANDA BOYCE,28.3,0,0.4,3,0,31.7,3,
"[HT] Novice, JNR",Dash,AVERY HUGHES,32.4,0,0,0,0,32.4,4,
"[HT] Novice, JNR",Ashraw High Flyer,MAXINE STRACHAN,33.3,0,0,0,0,33.3,5,
"[HT] Novice, JNR",Silver Lining,ADELAIDE GLENWRIGHT,33.8,0,0,0,0,33.8,6,
"[HT] Novice, JNR",Tully Mac's Happy Cinders,KATHERINE PAPAHADJOPOULOS,34.1,0,0,0,0,34.1,7,
"[HT] Novice, JNR",44 Magnum,KAYLEIGH DAYKA,35.5,0,0,0,0,35.5,8,
"[HT] Novice, JNR",Clover's Lucky Charm,CARLIE HALL,35.7,0,0,0,0,35.7,9,
"[HT] Novice, JNR",LachStone Robin,JULIETTE KOSMONT,32.4,0,2.4,4,0,38.8,10,
"[HT] Novice, JNR",Peter Parker,KIRAN D'SOUZA,32.9,0,2,4,0,38.9,11,
"[HT] Novice, JNR",Carra Clover Princess,SYDNEY ROBINSON,39.1,0,0,0,0,39.1,12,
"[HT] Novice, JNR",Balla Ruan,MACKENZIE DAVISON,34.3,0,1.6,4,0,39.9,13,
"[HT] Novice, JNR",Sir Editor,ISABELLA N. ROBINSON,36.2,0,0,4,0,40.2,14,
"[HT] Novice, JNR",Pikture This,EMMA RUSNAK,39.8,0,0.8,0,0,40.6,15,
"[HT] Novice, JNR",london's Charm,HAILEY HAWTHORN,41.7,0,0,0,0,41.7,16,
"[HT] Novice, JNR",Piko Rose,MARIA JIMENA PORTILLO,36.9,0,0,8,0,44.9,17,
"[HT] Novice, JNR",I Saw The Light,NICOLAS PORTILLO,42.4,0,0,5,0,47.4,18,
"[HT] Novice, JNR",Master Game,MOLLY TAGGARD,39.5,0,0,7,4,50.5,19,
"[HT] Novice, JNR",Harbour the Truth,MICHAELA MARONEY,43.8,0,1.2,7,0,52,20,
"[HT] Novice, JNR",My Mitch,SOPHIE HORN,33.6,20,0,10,0,63.6,21,
"[HT] Novice, JNR",Remington Steele,NATALIE KAVALER,33.3,20,17.2,0,0,70.5,22,
"[HT] Novice, JNR",Star Boy,HEATHER N. DAVIS,29.8,60,3.2,8,0,101,23,
"[HT] Novice, JNR",Shotgun Ryder,FLYNN SPITTS,46.7,0,7.6,4,0,58.3,HC,
"[HT] Novice, JNR",By Special Request,SEIKA STREETS,31.9,80,E,E,813,E,E,
"[HT] Novice, JNR",Candy Moon,LAUREN CIONE,34.8,80,E,E,40,E,E,
"[HT] Novice, JNR",This Bird,MAYA PESSIN,25.2,40,R,R,80,RR,RR,
"[HT] Novice, NAM",Kaptain Jak,GOLLY T. MARTIN,26,0,0,0,0,26,1,
"[HT] Novice, NAM",Monets Wish,VICTORIA KLEIN,32.6,0,0,2,0,34.6,2,
"[HT] Novice, NAM",Garboso,KELLY GARBACH,38.6,0,1.2,4,0,43.8,3,
"[HT] Novice, NAM",Be Mine,JEANNETTE ROBB,32.9,0,3.6,8,0,44.5,4,
"[HT] Novice, NAM",Kleary's Lucky Star,LUCINDA ROMERO,39.8,0,2,4,0,45.8,5,
"[HT] Novice, NAM",Habanera,CARRIE J. FINNO,37.4,0,2,8,0,47.4,6,
"[HT] Novice, NAM",Nimbus 2001,RONNIE N. HODGKINSON,40.5,0,2,12,0,54.5,7,
"[HT] Novice, NAM",Wil'ya Dance,NIKKI LLOYD,26.2,20,8,6,0,60.2,8,
"[HT] Novice, NAM",Bear Necessity,LAUREN HANNAH,32.1,0,24.8,8,0,64.9,9,
"[HT] Novice, NAM",Flight Risk,HEATHER LYON,42.4,,8,RF,RF,RF,RF,RF,
"[HT] Novice, NAM",The North Wind,BROOK MORRISON,33.3,,12,E,E,E,E,E,
"[HT] Novice, NAM",MI Conquistador SE,URSULA BEHIEL,33.3,60,E,E,1634,E,E,
"[HT] Novice, NAM",Ixtapa OHF,TERRY CLARK,27.4,,8,RF,RF,RF,RF,RF,
"[HT] Novice, NH",High Life,AMBER BIRTCIL,27.6,0,0,0,0,27.6,1,
"[HT] Novice, NH",BRB Coquette,EARL MCFALL,30.5,0,0,0,0,30.5,2,
"[HT] Novice, NH",Lamborghini,MICHELLE EMMERMANN,29.3,0,0,4,0,33.3,3,
"[HT] Novice, NH",Smarty Pants GWF,ERIN R. KELLERHOUSE,26.2,0,0,8,0,34.2,4,
"[HT] Novice, NH",Brinks,MEGAN MCIVER,36,0,0,0,0,36,5,
"[HT] Novice, NH",RLE Cappuccino,GINA O. MILES,32.4,0,3.6,0,0,36,6,
"[HT] Novice, NH",High Road DF,EARL MCFALL,33.3,0,0,4,0,37.3,7,
"[HT] Novice, NH",Francine Van De Kapel,BARBARA CRABO,37.9,0,4,0,0,41.9,8,
"[HT] Novice, NH",Soul Twain DF,EARL MCFALL,33.1,0,0,12,0,45.1,9,
"[HT] Novice, NH",Sophocles,SOPHIE DIXON-SUTTON,29.5,100,E,E,82,E,E,
"[HT] Novice, NH",Supah Heat,OLGA LONDA,38.6,85,R,R,1215,RR,RR,
"[HT] Novice, NH",Melkenna,ANDREA BAXTER,37.6,,12,E,E,E,E,E,
"[HT] Novice, NH",Phoebe V,VICKI L. BAKER,31.4,,W,W,0,WW,WW,
"[HT] Novice, ON",Celeste SCF,BELLA SILVEIRA,26.2,0,0,0,0,26.2,1,
"[HT] Novice, ON",WHF Warsong,MICHELLE EMMERMANN,26.4,0,0,0,0,26.4,2,
"[HT] Novice, ON",Maryville Sir Henry,ERIN R. KELLERHOUSE,28.1,0,0.4,0,0,28.5,3,
"[HT] Novice, ON",Dassett Ricochet,REBECCA BRAITLING,31.7,0,0,0,0,31.7,4,
"[HT] Novice, ON",Woodland's Be Dignified,SAMI CLARK,31.7,0,0,0,0,31.7,5,
"[HT] Novice, ON",Tropic Delight,CAROLINE M. DEIN,32.9,0,0,0,0,32.9,6,
"[HT] Novice, ON",Zarabella,MEGAN MCIVER,32.4,0,0,4,0,36.4,7,
"[HT] Novice, ON",Carrera,ANDREA BAXTER,37.6,0,0,0,0,37.6,8,
"[HT] Novice, ON",Avita,JOSH BARNACLE,39.1,0,0,0,0,39.1,9,
"[HT] Novice, ON",Simply SM,TAYLOR MILES,34.8,0,5.2,0,0,40,10,
"[HT] Novice, ON",CZ Grey,MADISON TEMKIN,41.4,0,0,0,0,41.4,11,
"[HT] Novice, ON",Galwaybay Merbantos,JENNY M. RAMIREZ,38.6,0,4,0,0,42.6,12,
"[HT] Novice, ON",Callaway,MADISON R. LLOYD,34.1,0,0,8,3,45.1,13,
"[HT] Novice, ON",Wild Ruler,ASHLEIGH GUICH,41.4,0,0,4,0,45.4,14,
"[HT] Novice, ON",Union Jack,SARAH JANE NICHOLS JOLLEY,42.6,0,2.8,4,0,49.4,15,
"[HT] Novice, ON",Iceman's Bravado,CORI LYNN HERR,41,0,0,4,6,51,16,
"[HT] Novice, ON",Quite Electric,BARBARA CRABO,28.8,0,TE,TE,40,TETE,TETE,
"[HT] Novice, SNR",Coupe De Ville,TORI TRAUBE,26.4,0,0,0,0,26.4,1,
"[HT] Novice, SNR",Hot Guy,CAT D. DUBBS,28.8,0,0,0,0,28.8,2,
"[HT] Novice, SNR",Jeffersonn,JULIENNE BIGLIN,31.7,0,0,0,0,31.7,3,
"[HT] Novice, SNR",Graceland's Reatta,ALISA SHEN,28.3,0,0,4,0,32.3,4,
"[HT] Novice, SNR",Jamaica Me Happy,JULIE MANDLE,31,0,0,4,0,35,5,
"[HT] Novice, SNR",Dr. Pangloss,SHELLEY THOMAS,31.2,0,0,4,0,35.2,6,
"[HT] Novice, SNR",Zinfandel,RACHEL NICHOLS,31.7,0,0,4,0,35.7,7,
"[HT] Novice, SNR",Hawk Action,SHAYNA YAEGER,28.6,0,0,8,0,36.6,8,
"[HT] Novice, SNR",Turbulent City,MICKAYLA HOWARD,31.9,0,0,4,1,36.9,9,
"[HT] Novice, SNR",Zoe,KELLY KURTENBACH,32.6,0,0,4,1,37.6,10,
"[HT] Novice, SNR",This Souls For You,GRETCHEN FORREY,31.7,0,0,4,2,37.7,11,
"[HT] Novice, SNR",Queen S,OLGA ANTIPOVA,35.7,0,0,4,0,39.7,12,
