Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Novice, ON",Just Jam,KAYLEEN P. CROWLEY,25,0,0,0,0,25,2,7.0
"[HT] Novice, ON",Delegante KBD,JENNETTE R. SCANLON,26.4,0,0,0,0,26.4,3,0.0
"[HT] Novice, ON",Carlton O'Brien Abú,RACHEL N. FOX,25.3,0,0,4,0,29.3,4,0.0
"[HT] Novice, ON",Diarocca DF,EARL MCFALL,31.9,0,0,0,0,31.9,5,0.0
"[HT] Novice, ON",DS Ardeo Bounce,LINDSAY K. WAGNER,28.6,0,0,4,0,32.6,6,0.0
"[HT] Novice, ON",Solide,KATE MILLER,28.6,0,0,4,0,32.6,7,6.0
"[HT] Novice, ON",O'Malley Z,NICHOLAS B. CWICK,33.1,0,0,0,0.4,33.5,8,0.0
"[HT] Novice, ON",Rusty de Satoya,NICOLAS SALLEMBIEN,30.3,0,0,4,0,34.3,9,5.0
"[HT] Novice, ON",Rimrock,LAUREN HENRY,29.2,0,0,4,1.6,34.8,10,4.0
"[HT] Novice, ON",Vespers at Eight,LIBBY PORZIG,31.9,0,0,4,0,35.9,11,0.0
"[HT] Novice, ON",Aberstar,LAUREN LOPICCOLO,33.3,0,0,4,0,37.3,12,0.0
"[HT] Novice, ON",Griffin,JENNIFER I. LUDWIG,33.9,0,4.4,0,1.2,39.5,13,0.0
"[HT] Novice, ON",Vortex,HELEN ALLISTON,34.2,0,0,4,2,40.2,14,0.0
"[HT] Novice, ON",Remonta Fiador,JENNIFER FETNER,35.3,0,5.6,0,0.8,41.7,15,0.0
"[HT] Novice, ON",Porsche,NICHOLAS B. CWICK,33.9,20,4.8,0,0,58.7,16,0.0
"[HT] Novice, ON",Saaliyah Lind,GISELLE G. PAGEL,41.1,20,0,8,0,69.1,17,0.0
"[HT] Novice, SNR",SZ Raudo,LISA PEECOOK,23.6,0,0,0,0,23.6,1,0.0
"[HT] Novice, SNR",Caunton Filippa 32,CYNTHIA WRIGHT,31.1,0,0,0,0,31.1,2,7.0
