Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Florestan du Serin / JOSH BARNACLE,38.3,0,18.8,12,9,78.1,1,12.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",I Spy / MARC GRANDIA,50.8,20,31.2,4,1,107,2,10.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Uppercrust D / ANNA C. COLLIER,38.3,40,56.4,4,9,147.7,3,8.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Vapor Trail / DAWN WHITE,37.9,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Ballinakill Glory / KELLY PRATHER,33.3,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Safari / ANNE CARR,37.9,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Cooper / JENNIFER BRANNIGAN,27.7,0,11.2,0,0,38.9,1,12.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Ringwood Magister / TIANA COUDRAY,25.8,0,21.2,0,2,49,2,10.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Beacon Hill / MAXANCE MCMANAMY,35,0,12.4,4,0,51.4,3,8.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Catch A Star / RACHEL DWYER,38.9,0,7.2,8,11,65.1,4,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Last Call / ALEXANDRA KNOWLES,36.9,20,12.4,4,0,73.3,5,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Renegade Reno / KATE GILLESPIE,36.9,60,30.4,12,0,139.3,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Normandy Soldier / ELSIE PATTERSON,39.6,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Tim Buck Two / SHANNON P. LILLEY,38.5,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Candy / DAVID P. KOSS,36.9,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Belmont Ballygowan / JILLIAN TERZIAN,39.2,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Gin & Juice / HAWLEY BENNETT-AWAD,34.2,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Beaujolais Nouveau / KRISTEN ORTON,29.6,0,.8,0,0,30.4,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Sir Donovan / NICHOLAS CWICK,36.3,0,0,0,0,36.3,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Horatio / JESSIE DEETER,31.9,0,8.4,0,0,40.3,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",R-Star / KRISTI M. NUNNINK,30.4,0,21.6,0,0,52,4,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Goodknight / DAVID W. ACORD,35.2,0,18.4,0,0,53.6,5,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Ballingowan Pizazz / LINDSAY CONNORS,33,20,8.8,0,0,61.8,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",San Salvador / RYAN B. BROWN,32.2,0,2,28,0,62.2,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Island Winds / SHIRLEY ARONSON,40.4,0,10.4,20,1,71.8,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Dextrarius / KEVIN BAUMGARDNER,35.6,0,24.4,12,0,72,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Jude's Law / ANDREW C. TEMKIN,37.4,20,20.4,0,4,81.8,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Glory / DAN SCHEID,49.6,0,17.6,20,3,90.2,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Have A Drink On Me / JOLIE WENTWORTH,42.2,20,21.2,8,0,91.4,12,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Parfait / ERIN R. KELLERHOUSE,43.7,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, OP (Starters: 14)",Notelo de Rox / KELLY PRATHER,26.7,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",InForAPound Dunvegan / GABRIEL AGUILAR,33.3,0,4.4,8,0,45.7,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Lucky Teddy / MAX GERDES,38.2,0,0,8,0,46.2,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Kilkenny Star / JANINE S. HILL,40,0,1.6,4,2,47.6,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Bye Bye / MARALEE PAUL,37.8,20,2,4,0,63.8,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Made Ya Look IV / LISA LEVINE,32.6,0,3.2,24,5,64.8,5,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Fire & Ice / SHANNON WARD,33.3,0,0,32,0,65.3,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Pallas Ballyowen / COURTNEY PILLA,38.5,0,19.6,12,0,70.1,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Maseratti / WHITNEY TUCKER BILLETER,28.5,20,20,12,0,80.5,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Waterhouse / JOY C. GONZALES,39.3,20,23.2,8,0,90.5,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Cartier / BROOKE GIBSON,34.1,20,20.4,16,9,99.5,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Hoppi / VICKI MARTINEZ,40,40,25.6,4,0,109.6,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Pele II / HILARY B. NIEMANN,34.8,40,11.6,16,19,121.4,12,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Court Jester / FRANCES M. ANDERSON,36.7,40,30.8,8,13,128.5,13,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Canadian Spy / SUE CHURCH,42.6,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Private Edition / JAMIE M. CARMAN,30.4,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Felix the Cat II / SUSAN FRIEND LETOURNEUR,42.6,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, PR (Starters: 17)",Willoughby Bay / JOY M. SIMON,45.6,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Idle Bells / MADISON REEB,30.7,0,0,4,0,34.7,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Ballingowan Miller / JOHN MICHAEL DURR,31.1,0,0,4,0,35.1,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Harry Potter III / HANNAH CHILDS,35.6,0,1.6,0,0,37.2,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",First Offer / ALANA AMACK,35.2,0,0,4,0,39.2,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Given Half A Chance / SUZY HETTICH,37,0,0,4,0,41,5,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Obewon / MICHELLE HANF,40,0,0,4,0,44,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Faustino Hastak / EMILY LEWIS,43.3,0,3.6,4,0,50.9,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",McTwist / JESSICA MONTGOMERY,43.7,0,0,8,0,51.7,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Coeur Das / MCKINZIE G. ADAMS,43.3,0,6.8,4,0,54.1,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Spot Me One / ALLEGRA M. AIUTO,47,0,9.6,4,0,60.6,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Fox Himself II / MARISSA WESSLUND,45.9,0,.4,20,5,71.3,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Gallipoli II / SCOTT K. KUHLMAN,33.3,0,31.6,12,2,78.9,12,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Matrix III / KEITH MALLETT,43,60,14.8,4,0,121.8,13,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Memory Loss / KATHRYN HUTTLESTON,36.7,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",Balabooga Brawley / MOLLY TOTTEN,34.8,0,0,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Preliminary, YOP (Starters: 16)",T for Tiger / ALANA AMACK,39.6,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Denim Blues / HANNA RAMLETH,35.5,0,.4,0,0,35.9,1,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Sir Dudley / OLIVIA C. FRANCIS,39.5,0,0,0,0,39.5,2,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Nanook / ANNA MEDINA,35.5,0,2,4,0,41.5,3,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Kaptain Jak / GABRIELLA M. SCHLESINGER-JAMES,37.5,0,0,4,1,42.5,4,3.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Alexa Blue / ANNE A. BENNETT,35.5,0,0,8,1,44.5,5,2.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Press for Time / CHLOE LALONDE,39.5,0,0,4,3,46.5,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Just Watch Me / ALEXANDRA CHOU,35.5,0,0,12,0,47.5,7,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Doctor's Orders / REESE MASON,40,0,10,0,0,50,8,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Cody's Crush / KAYLA TOBLER,39.5,0,10.8,4,0,54.3,9,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Mon Petit Nuage / KATHERINE S. MELLIS,37,0,6.8,12,0,55.8,10,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Whyatch / KATARINA SHORT,45,0,0,12,0,57,11,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Dunn to a T / EMILY O'BRIEN,39,0,0,12,13,64,12,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",V.E. Nikolaus / ELIANA ATHAYDE,40.5,0,11.6,8,7,67.1,13,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Diplomatic King / SHAYNA FIELDS,45.5,20,10,0,0,75.5,14,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Zippity Cricket / KIMBERLEY LOW,40.5,20,20.8,4,9,94.3,15,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTR (Starters: 16)",Napoleon Dynamite / BRINDA BARCELON,37,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTRB (Starters: 19)",Good Time Charlie / STACIA L. ARNOLD,31.5,0,0,0,0,31.5,1,7.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTRB (Starters: 19)",Just a L'il Bit / HALEY DWIGHT,29,0,4,0,0,33,2,6.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTRB (Starters: 19)",Unconscious Bets / MADELINE J. WALZEM,35.5,0,0,0,0,35.5,3,5.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTRB (Starters: 19)",Impish Grin / KATHERINE HOWARD,32.5,0,4,0,0,36.5,4,4.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Training, JTRB (Starters: 19)",Akamina / KATE TAYLOR-KEELING,36.5,0,0,4,0,40.5,5,3.0,--
