Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank
"Novice, N:OPEN","Buzz Lightfoot","GIGI (GAY G.) SCHOFIELD",33.0,0,2.8,0,0.0,35.8,5
"Novice, N:OPEN","Cuchulainn","GIGI (GAY G.) SCHOFIELD",36.0,0,0.0,0,0.0,36.0,6
"Novice, N:OPEN","Impish Grin","TERESA KOROL",35.0,0,2.0,0,0.0,37.0,7
"Novice, N:OPEN","Irish Brew II","JENNIFER HECKENDORN",37.5,0,0.0,0,0.0,37.5,8
"Novice, N:OPEN","Literal Scholar","GINA M. SHAMAN",37.0,0,0.0,8,3.0,48.0,9
"Novice, N:OPEN","Wellington VI","JENNIFER WOOTEN - MACOUZET",30.5,20,0.0,4,7.0,61.5,10
"Novice, N:OPEN","Scout IV","JILL OLSON",48.0,20,0.0,0,1.0,69.0,11
"Novice, N:OPEN","Galen IV","FRANCES M. ANDERSON",31.0,40,0.0,0,0.0,71.0,12
"Novice, N:OPEN","Clover Creek","SUSAN FREDERICKS",32.5,40,0.0,8,0.0,80.5,13
"Novice, N:OPEN","ERISA Marveles","DAVID ADAMO",30.5,40,8.8,12,12.0,103.3,14
"Novice, N:SR RIDER A","Immanuel","ELISABETH S. BRINTON",31.0,0,0.0,0,0.0,31.0,1
"Novice, N:SR RIDER A","Cartier","BROOKE GIBSON",37.0,0,0.0,4,0.0,41.0,2
"Novice, N:SR RIDER A","Charbonneau","KATHY MAYLIN",40.5,0,0.0,0,3.0,43.5,3
"Novice, N:SR RIDER A","Rainey","THERESA SIMMONS",38.5,0,0.0,4,3.0,45.5,4
"Novice, N:SR RIDER A","Leben","CLARE FRIEDMAN",51.0,0,0.0,4,0.0,55.0,6
"Novice, N:SR RIDER A","Saturninus","CHERIE BAYLIS",30.5,20,8.4,0,0.0,58.9,7
"Novice, N:SR RIDER A","Fatamorgana","MATTHEW B. WALLEY",31.0,0,0.0,4,0.0,35.0,E
"Novice, N:SR RIDER A","Checotah","CHERI TINNEY",37.0,0,0.0,0,0.0,37.0,E
"Novice, N:SR RIDER A","Sargeant Major **","BETH SLIKAS",34.5,0,0.0,4,0.0,38.5,E
"Novice, N:SR RIDER A","Bailey Grey","MICHAEL R. THOMAS",38.5,0,0.0,0,0.0,38.5,E
"Novice, N:SR RIDER B","General Lee II","KRISTINE HEGGLIN",26.5,0,0.0,4,0.0,30.5,1
"Novice, N:SR RIDER B","Atlas II","ANNE AHLMAN",30.0,0,0.0,4,0.0,34.0,2
"Novice, N:SR RIDER B","Urturntodance","MARY E. REESE",34.0,0,0.0,0,0.0,34.0,3
"Novice, N:SR RIDER B","Classic Roman","REBECCA NAEVE",34.0,0,0.0,0,0.0,34.0,4
"Novice, N:SR RIDER B","Fin Pret","TICIEN SASSOUBRE",37.0,0,0.0,0,0.0,37.0,5
"Novice, N:SR RIDER B","Sweet Reason","VICTORIA KLEIN",40.0,0,0.0,0,0.0,40.0,6
"Novice, N:SR RIDER B","The Perfect Storm II","EILEEN W. MORGENTHALER",32.0,20,0.0,4,0.0,56.0,7
"Novice, N:SR RIDER B","Kinsale","ANNIE J. SCHMIDT",34.5,0,0.0,0,0.0,34.5,E
"Beginner Novice, BN:JR RIDER","Over the Moon","GEORGIA THOMAS",34.0,0,0.0,0,0.0,34.0,1
"Beginner Novice, BN:JR RIDER","Letrista","CARINA BERLIN",31.0,0,0.0,4,0.0,35.0,2
"Beginner Novice, BN:JR RIDER","Chase Me Charlie","KELLY A. LORIA",42.0,0,0.0,0,0.0,42.0,3
"Beginner Novice, BN:OPEN","Giaconda","HONOR FULLERTON STONE",35.0,0,0.0,0,0.0,35.0,1
"Beginner Novice, BN:OPEN","Ragazzo","JULIE MANDLE",43.0,0,0.0,0,0.0,43.0,2
"Beginner Novice, BN:SR RIDER","Sebastian XIII","ANNETTE CHOLON SIEGEL",39.5,0,9.2,0,1.0,49.7,1
"Beginner Novice, BN:SR RIDER","Notorious","TERRI C. TERRY",42.0,0,7.6,0,2.0,51.6,2
"Beginner Novice, BN:SR RIDER","Limerick","KIRSTIN HILL",45.5,0,7.2,0,0.0,52.7,3
"Beginner Novice, BN:SR RIDER","Rare Echo","STEVE ROON",49.0,20,3.2,0,0.0,72.2,4
