Division,Horse,Rider,Dressage,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
Novice:RIDER JR,Windsor VII,HAYLEY ANNE M. MORGAN,39.50,60,36.40,0,14.00,149.90,190.0,--
Novice:RIDER JR,Fool's Gold,ALEXANDRA WILLOUGHBY,45.30,0,0.00,0,0.00,45.30,E,--
Novice:RIDER SR A,Macchiato II,EILEEN W. MORGENTHALER,31.60,0,0.00,0,0.00,31.60,16.0,--
Novice:RIDER SR A,Distinctive Heir,MEGAN W. BEACHLER,31.60,0,0.00,0,6.00,37.60,25.0,--
Novice:RIDER SR A,Limerick,KIRSTIN HILL,24.70,20,0.00,0,0.00,44.70,34.0,--
Novice:RIDER SR A,Atlas II,ANNE AHLMAN,33.70,0,1.60,0,11.00,46.30,43.0,--
Novice:RIDER SR A,Cat's Pajamas,DEBRA PALAMENGHI VARNEY,28.40,0,0.00,4,16.00,48.40,52.0,--
Novice:RIDER SR A,Kiwi Posh,MARCY MIGNONE,24.20,20,8.00,0,0.00,52.20,60.0,--
Novice:RIDER SR A,Kansas City,LEXIE HUNT,32.60,20,0.00,4,2.00,58.60,70.0,--
Novice:RIDER SR A,Giaconda,HONOR FULLERTON STONE,33.20,0,4.80,0,21.00,59.00,80.0,--
Novice:RIDER SR A,Rocks No Salt,RUTH WHEELER,37.90,20,4.80,8,10.00,80.70,90.0,--
Novice:RIDER SR A,Paddy O'Furniture,SUSAN ALTMAN,28.40,85,15.20,12,27.00,167.60,100.0,--
Novice:RIDER SR A,Tigger VII,KATHY TABANGCURA,39.00,0,0.00,0,5.00,44.00,E,--
Novice:RIDER SR B,Savannah,WENDELL WILLIAMS,28.40,0,0.00,0,0.00,28.40,16.0,--
Novice:RIDER SR B,Raucous Bacchus,KATRINA PURA,26.30,0,0.00,4,2.00,32.30,25.0,--
Novice:RIDER SR B,Wendover's High Lander,TARA B. POZZI,32.60,0,0.00,0,0.00,32.60,34.0,--
Novice:RIDER SR B,Baccarat's Carrera,HEATHER BROWN,31.60,0,0.00,0,1.00,32.60,43.0,--
Novice:RIDER SR B,Maxwell IV,ALISON DACHER,35.80,0,0.00,8,0.00,43.80,52.0,--
Novice:RIDER SR B,Private Reserve,ROBERT THORNHILL,36.80,0,0.00,4,4.00,44.80,60.0,--
Novice:RIDER SR B,My Harley,STEVE PUGH,36.80,0,2.80,12,0.00,51.60,70.0,--
Novice:RIDER SR B,Eclipse,JULIA RICH,47.90,0,3.20,4,12.00,67.10,80.0,--
Novice:RIDER SR B,Kinsale,ANNIE J. SCHMIDT,37.90,40,16.40,0,12.00,106.30,90.0,--
Novice:RIDER SR B,Diamond Brenna,JULIE A. COOK,34.20,80,18.80,8,12.00,153.00,100.0,--
Novice:RIDER SR B,Greystroke,JANE SWIGART,31.10,0,6.00,0,0.00,37.10,W,--
Novice:RIDER SR B,Tess,MAURYA B. FALKNER,32.60,0,3.20,8,3.00,46.80,E,--
Beginner Novice:OPEN,ERISA Marveles,DAVID ADAMO,24.00,0,0.00,0,0.00,24.00,25.0,--
Beginner Novice:OPEN,Sanssouci,RUTH BLEY,28.50,0,0.00,0,0.00,28.50,34.0,--
Beginner Novice:OPEN,Brighton,KRISTEN BUSBY,27.50,20,5.60,0,0.00,53.10,80.0,--
Beginner Novice:OPEN,Cuchulainn,LISA J. WONG,34.50,20,0.00,8,1.00,63.50,90.0,--
Beginner Novice:RIDER JR,Remington,STEPHANIE WEHAN,28.50,0,0.00,4,0.00,32.50,26.0,--
Beginner Novice:RIDER JR,Talisman,DANA WALSH,37.00,0,0.00,0,0.00,37.00,100.0,--
Beginner Novice:RIDER SR,Katrina IV,VALLI BOWMAN,31.50,0,0.80,0,1.00,33.30,35.0,--
Beginner Novice:RIDER SR,Hot Fudge,RICHARD K. HOLMES,37.50,0,0.00,0,0.00,37.50,53.0,--
Beginner Novice:RIDER SR,Oz,REBECCA PAYNE,32.00,20,0.00,4,0.00,56.00,140.0,--
Beginner Novice:RIDER SR,Laredo,SANDRA G. HOLMES,26.50,20,7.20,8,7.00,68.70,160.0,--
Beginner Novice:RIDER SR,Gatsby,ILONA LETMANYI,36.50,0,17.20,0,18.00,71.70,180.0,--
Beginner Novice:RIDER SR,Attention Prince,ALEIA R. LUND,38.50,0,30.40,4,0.00,72.90,190.0,--
Beginner Novice:RIDER SR,AE Psymmetry (AKA Timi),BETSY WOBUS,26.50,0,0.00,4,0.00,30.50,W,--
Beginner Novice:RIDER SR,Diva,ELIZABETH HANSEN,34.50,60,27.60,0,0.00,122.10,E,--
